Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills,field_id
Implementing SOLID Principles in C# with .NET Core,Coursera Project Network,Intermediate,Not Calibrated,https://www.coursera.org/learn/solid-principles-in-c-sharp,"In this 1-hour long project-based course, you will learn how to   - Review an initial monolith .NET Core console application written in C# - Implement the Single Responsibility principle by breaking the single class in smaller classes with single responsibilities - Implement the Open Closed Principle by breaking rides into base classes and children classes for types of rides - Implement the Liskov Substitution Principle by implementing less restrictive rules on the input parameters by the parent ride class and more restrictive rules to the input parameters by the child ride class - Implement the Interface Segregation Principle by adding multiple interfaces to the ride class - Implement the Dependency Inversion Principle by Injecting ride interfaces into the ThemePark class  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",recursively enumerable set  child  abstract type  c sharp (programming language)  java annotation  principle  solid (object-oriented design)  console applications  inheritance (object-oriented programming)  Workshops computer-science software-development,1
Device-based Models with TensorFlow Lite,DeepLearning.AI,Beginner,4.6,https://www.coursera.org/learn/device-based-models-tensorflow,"Bringing a machine learning model into the real world involves a lot more than just modeling. This Specialization will teach you how to navigate various deployment scenarios and use data more effectively to train your model.  This second course teaches you how to run your machine learning models in mobile applications. You�ll learn how to prepare models for a lower-powered, battery-operated devices, then execute models on both Android and iOS platforms. Finally, you�ll explore how to deploy on embedded systems using TensorFlow on Raspberry Pi and microcontrollers.  This Specialization builds upon our TensorFlow in Practice Specialization. If you are new to TensorFlow, we recommend that you take the TensorFlow in Practice Specialization first. To develop a deeper, foundational understanding of how neural networks work, we recommend that you take the Deep Learning Specialization.",Deep Learning  raspberry pi  Android Development  Tensorflow  object detection  mathematical optimization  iOS Development  demos  mobile operating systems  microcontroller computer-science software-development,2
Wireshark for Basic Network Security Analysis,Coursera Project Network,Beginner,4.4,https://www.coursera.org/learn/wireshark-for-network-security,"In this 1-hour 30-minutes long project-based course, you will learn how to use Wireshark to capture the Network Traffic you need and analyze it securely. You will have a better understanding of encrypted and unencrypted traffic and how to differentiate between them. You will dig deeply into unencrypted protocols such as RADIUS, HTTP, DNS and Telnet by generating the Traffic of each of them and capturing it yourself. Also you will generate, capture and look into secure and encrypted protocols such as HTTPS and SSH. Additionally, you will learn how to capture HTTPS Traffic and decrypt them by using a pre-master secret key.  Note: This project works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",https  telnet  key (cryptography)  plaintext  authentication  Cryptography  encryption  domain name system  password  Wireshark information-technology security,6
Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies,Case Western Reserve University,Advanced,4.4,https://www.coursera.org/learn/entrepreneurship-development,"The path for entrepreneurs to grow their companies outside of well-developed entrepreneurial ecosystems like Silicon Valley is challenging. Most markets around the world do not look like Silicon Valley, and they never will. But there are other models to support new businesses. In transitioning markets (where entrepreneurs do not have much access to private sector financing), government officials, donors, and business leaders are experimenting with creative approaches to support the growth of entrepreneurs. Northeast Ohio, whose largest city is Cleveland, is one such community. During our time together in this course, we will be exploring some of these innovative approaches.   A massive intervention of government and donor resources in Northeast Ohio has been in place for over ten years. In that time, Northeast Ohio has experienced success (including job creation and follow-on funding) with alternative methods of financing startups, but it has not been easy. Yes, some progress has been made, but whether or not they've hit on ultimate success has yet to be determined. A dynamic entrepreneurial ecosystem takes many years, even decades, to develop. Government officials and donors typically are looking for shorter term success with their support programs which makes long-term support for entrepreneurship challenging.   During this course, we will hear from entrepreneurs who have launched products and services ranging from medical devices to LED lights to whiskey. You will learn how these entrepreneurs engaged with resources made available to them through a variety of programs and intermediary organizations. We have chosen to talk with many business people that are still in the process of developing their companies and whose ultimate success or failure is still to be determined.   In addition to learning about Cleveland's attempts to support entrepreneurship, you will also be hearing in the lectures from leaders in selected markets around the world including Greece, Vietnam, Tunisia, Argentina, Rwanda and China about how they are working to support the growth of start-up companies.  One of our goals is to learn from you how different communities around the world are approaching implementing strategies and methods to support businesses. Taking what we've learned from our examples in class, I will ask you to reflect on how to best grow entrepreneurship where you live. I am excited to use this global platform to create a dialogue where information flows in multiple directions.   Most MOOCs rebroadcast professors� lectures, but this course will be different. Don�t expect to see me standing in front of the camera, talking and lecturing every module. Instead, the lectures will be relatively short in length and will have more of the feel of an engaging documentary than a static classroom setting.",funds  economy  entrepreneurship ecosystem  mentorship  Entrepreneurship  support group  leverage (finance)  leadership  Venture Capital  angel investor business entrepreneurship,4
Analyze Website Visitors with Google Analytics Segments,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/analyze-visitors-google-analytics-segments,In this project you will learn how to use segments in Google Analytics and how they provide a deeper analysis of your website visitors. You will learn how to set up and use segments. You will learn about system segments and custom segments. You will also learn how to import segments. You will understand how using segments helps you make better decisions when it comes to increasing and converting your website traffic.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.,analysis  PyTorch  Segmentation Analysis  google analytics  market segmentation  Benefits  project mine  analytics  film  project data-science data-analysis,2
"Textual Elements of Design: Fonts, Typography, and Spacing",University of Colorado Boulder,Beginner,4.8,https://www.coursera.org/learn/fonts-typography-spacing,"Graphic design is telling a story by using both images and text. With that definition in mind, this course will focus on the textual elements of graphic design. From the history of typography, the difference between type, fonts and text as well as exposure to typography spacing, students will learn the value of selecting the best kind of type and combinations of fonts to get their message across in a visually pleasing manner.",Web Design  html  typography  adobe illustrator  adobe photoshop  Brochure Design  Video Production  Graphic Design  Video Editing  Computer Graphics arts-and-humanities history,3
Marketing Analytics Capstone Project,Emory University,Advanced,3.7,https://www.coursera.org/learn/marketing-analytics-project,"This capstone project will give you an opportunity to apply what we have covered in the Foundations of Marketing Analytics specialization. By the end of this capstone project, you will have conducted exploratory data analysis, examined pairwise relationships among different variables, and developed and tested a predictive model to solve a marketing analytics problem.  It is highly recommended that you complete all courses within the Foundations of Marketing Analytics specialization before starting the capstone course.",Marketing  regression validation  project  Market Analysis  Accuracy And Precision  evaluation  Regression  Logistic Regression  Exploratory Data Analysis  analytics business marketing,2
Tell the Data Story with Survey Graphics in Google Slides,Coursera Project Network,Advanced,Not Calibrated,https://www.coursera.org/learn/tell-the-data-story-with-survey-graphics-in-google-slides,"�Tell me a story.� At some point, we all have either heard those words or uttered them ourselves. The strong desire to be transported and to understand through narrative is something that stays with us through adulthood and is activated in our personal and professional lives. Why are humans so profoundly impacted by stories? Studies show that narrative helps us to find meaning in information and activates a desire to connect with it. By engaging with a story, we open the door to allow the meaning of it to resonate with us. For decision-making, this translates to narrative, the story, acting as the vehicle to make data actionable.  In this project, you will gain hands-on experience telling a simple data story that will connect with a professional audience. The story will be told with graphics created from survey data collected by a hypothetical company that hopes to grow their understanding of the customer experience and uncover where business opportunities may lie. You will tell your survey data story using the free-to-use presentation software Google Slides.   By the end of this project, you will be able to confidently tell a data story using any presentation software.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",use case  Framing  presentation (software)  Line Chart  software  audience  Spreadsheet Software  presentation  Chart  project data-science data-analysis,2
User Experience Responsive Hero in XD for Beginners,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/xd-responsive-hero-beginners,"In this 1-hour long project-based course, you will learn how to create custom content as well as resusable components for a responsive hero for a website design. There is also a UX use case in the recommended reading to understand the reason why we are creating the  User Interface (UI).   1. Create Artboards and Utilize the Tools Panel for Content Creation. 2. Create a Custom Button with the Pen Tool 3. Create a Button Component 4. Learn Text Character Styles 5. Resize Assets for Artboards.   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",character (computing)  experience  asset  login  Steel Connection Design  User Experience  Print Shop  project  axosoft  project mine computer-science design-and-product,3
Securing Digital Democracy,University of Michigan,Advanced,4.8,https://www.coursera.org/learn/digital-democracy,"In this course, you'll learn what every citizen should know about the security risks--and future potential � of electronic voting and Internet voting. We'll take a look at the past, present, and future of election technologies and explore the various spaces intersected by voting, including computer security, human factors, public policy, and more.",computer access control  elections  Distributed Computing Architecture  voting  Software Testing  usability  wii menu  terminal server  security  banner blindness computer-science computer-security-and-networks,6
"Penetration Testing, Incident Response and Forensics",IBM,Beginner,4.6,https://www.coursera.org/learn/ibm-penetration-testing-incident-response-forensics,"This course gives you the background needed to gain Cybersecurity skills as part of the Cybersecurity Security Analyst Professional Certificate program.   You will learn about the different phases of penetration testing, how to gather data for your penetration test and popular penetration testing tools.  Furthermore, you will learn the phases of an incident response, important documentation to collect, and the components of an incident response policy and team.  Finally, you will learn key steps in the forensic process and important data to collect.    This course also gives you a first look at scripting and the importance to a system analyst.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the fifth course in a series of courses to acquire the skills to work in the Cybersecurity field as a Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Penetration Testing, Incident Response and Forensics IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/penetration-testing-incident-response-and-forensics.   In this course you will learn to: �\tDescribe penetration testing tools and the benefits to an organization �\tDescribe a deep dive into incident response techniques and tools �\tDescribe digital forensics and digital evidence. �\tDiscuss the power of scripting.",incident management  penetration test  scripting language  Python Programming  Computer Security Incident Management  Leadership and Management  security  Computer Programming  digital forensics  forensics information-technology security,6
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,Advanced,4.6,https://www.coursera.org/learn/streaming-analytics-systems-gcp,"*Note: this is a new course with updated content from what you may have seen in the previous version of this Specialization.  Processing streaming data is becoming increasingly popular as streaming enables businesses to get real-time metrics on business operations. This course covers how to build streaming data pipelines on Google Cloud Platform. Cloud Pub/Sub is described for handling incoming streaming data. The course also covers how to apply aggregations and transformations to streaming data using Cloud Dataflow, and how to store processed records to BigQuery or Cloud Bigtable for analysis. Learners will get hands-on experience building streaming data pipeline components on Google Cloud Platform using QwikLabs.  New! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud Enroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate  or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits;   => Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching  => 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests",Cloud Computing  bigquery  bigtable  dataflow  query optimization  stream processing  Google Cloud Platform  streams  mathematical optimization  publish subscribe pattern information-technology cloud-computing,2
Web Application Development with JavaScript and MongoDB,University of London,Advanced,4.5,https://www.coursera.org/learn/web-application-development,"In this course, you will develop more Advanced web application programming skills. You will learn how to control data read and write access using methods, publish and subscribe. You will learn how to access your database and server shells using command line tools. You will use the SimpleSchema system to validate data and generate input forms automatically. You will see a complete collaborative code editing environment, TextCircle, being built from scratch.   At the end of this course, you will be able to: - use Meteor methods to control data write access - use publish and subscribe to control data read access - install and use Advanced Meteor packages - add user accounts to your applications - implement complex MongoDB filters - use the MongoDB and meteor server shells - define data validations schemas using SimpleSchema - generate data input forms automatically using SimpleSchema  In this course, you will complete: 2 programming assignments taking ~4 hours each to complete 4 quizzes, each taking ~20 minutes to complete multiple practice quizzes, each taking ~5 minutes to complete  Participation in or completion of this online course will not confer academic credit for University of London programmes",meteor  html  mongodb  Databases  Web Development  web  file system permissions  web application  user (computing)  Javascript computer-science software-development,1
Introduction to Game Design,California Institute of the Arts,Advanced,4.7,https://www.coursera.org/learn/game-design,"Welcome! This course is an introduction to the primary concepts of gaming, and an exploration of how these basic concepts affect the way gamers interact with our games. In this course you will understand what defines a �game� and the mechanics and rules behind different types of games. Through four linked assignments you'll learn ways to create and describe a game concept, and specifically what makes a compelling game. This course focuses on the conceptual underpinnings of games, and all assignments can be completed with a pencil and paper � no previous programming knowledge is required.",software design description  balance (game design)  video game development  gameplay  documents  game mechanics  game design  game testing  video game design  game design document arts-and-humanities music-and-art,3
Palo Alto Networks Cybersecurity Essentials II,Palo Alto Networks,Advanced,4.6,https://www.coursera.org/learn/cybersecurity-essentials-2,"Palo Alto Networks Cybersecurity Essentials II  Course Description:  Essentials II provides the student with a full understanding of the fundamental tenants of cybersecurity and covers the general security concepts involved in maintaining a secure network computing environment. Students will fully learn the nature and scope of today�s cybersecurity challenges, strategies for network defense, as well as detailed information about next-generation cybersecurity solutions. Students will also deploy a variety of security methodologies as well as technologies and concepts used for implementing a secure network environment.   Learning Objectives:  Upon completion of this course, students will be able to:  �\tDemonstrate ability to assess and harden endpoints based on security policies. �\tDescribe uses of Advanced malware research and analysis to provide enhanced protection for enterprise networks.  �\tExamine mobile and cloud-based connection technologies.",Computer Security Incident Management  indicator of compromise  malware research  Customer Support  process  malware  enterprise private network  security  evaluation  analysis information-technology security,6
Data Analytics Foundations for Accountancy I,University of Illinois at Urbana-Champaign,Advanced,3.6,https://www.coursera.org/learn/data-analytics-accountancy-1,"Welcome to Data Analytics Foundations for Accountancy I! You�re joining thousands of learners currently enrolled in the course. I'm excited to have you in the class and look forward to your contributions to the learning community.  To begin, I recommend taking a few minutes to explore the course site. Review the material we�ll cover each week, and preview the assignments you�ll need to complete to pass the course. Click Discussions to see forums where you can discuss the course material with fellow students taking the class.  If you have questions about course content, please post them in the forums to get help from others in the course community. For technical problems with the Coursera platform, visit the Learner Help Center.  Good luck as you get started, and I hope you enjoy the course!",Accounting  Data Structures  Histogram  array data type  Numpy  Matplotlib  Scikit-Learn  Studentized Residual  probability mass function  Random Variable data-science data-analysis,2
Complex Retrieval Queries in MySQL Workbench,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/complex-retrieval-queries-in-mysql-workbench,"In this intermediate-level course you will use MySQL Workbench to expand your basic SQL query-writing skills with more complex examples and activities. In hands-on activities in MySQL Workbench, you will write and execute SQL queries that retrieve data from multiple tables. In addition, you will generate queries that summarize data and perform calculations. Nested queries and SQL scripting rounds out the course content. While the course concentrates on query writing, you also get a taste of the problem-solving and data analysis efforts required for complex query construction and query results verification.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",relational database  internet  rounding  mysql  analysis  associative entity  Data Analysis  database model  nest  interpretation information-technology data-management,2
Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,Conversant,4.6,https://www.coursera.org/learn/datascimed,"An increasing volume of data is becoming available in biomedicine and healthcare, from genomic data, to electronic patient records and data collected by wearable devices. Recent advances in data science are transforming the life sciences, leading to precision medicine and stratified healthcare.   In this course, you will learn about some of the different types of data and computational methods involved in stratified healthcare and precision medicine.  You will have a hands-on experience of working with such data.  And you will learn from leaders in the field about successful case studies.   Topics include: (i) Sequence Processing, (ii) Image Analysis, (iii) Network Modelling, (iv) Probabilistic Modelling, (v) Machine Learning, (vi) Natural Language Processing, (vii) Process Modelling and (viii) Graph Data.  Watch the course promo video here: http://edin.ac/2pn350P",medicine  language  Python Programming  Computer Programming  Machine Learning  Human Learning  Natural Language Processing  analysis  natural language  Precision Medicine data-science data-analysis,2
International Cyber Conflicts,The State University of New York,Beginner,4.5,https://www.coursera.org/learn/cyber-conflicts,"By nature, cyber conflicts are an international issue that span across nation-state borders. By the end of the course, you will be able to apply the knowledge gained for analysis and management of international cyber incidents and conflicts including for activities such as development of policy related to cybercrime and cyberwarfare. Management of cyber incidents and conflicts requires an interdisciplinary perspective including an understanding of: 1) characteristics of the cyber threats and conflicts themselves, 2) international efforts to reduce and improve cyber security, and 3) psychological and sociopolitical factors.   The course is designed to reach an international audience and will encourage discussion on relevant current events among participants to enrich the experience with various personal and cultural perspectives on cutting-edge issues. In addition, assignments and other assessments will supplement video lectures and selected readings to ensure application of the material.   After taking this course you will be able to:  � Identify different types of actors involved in cyber threats (individuals, organizations & nation-states) � Distinguish between different types of threats and issues in cyber security including, data theft, political espionage, critical infrastructure protection, and propaganda � Detail the basic characteristics of the Internet infrastructure and international efforts to address Internet governance � List several international efforts to address cyber crime and espionage � Evaluate how principals that govern international conflicts might be applied in context of cyber security � Apply different psychological theories of human motivation and cooperation and communication and political theories in analysis of different international issues related to cyber security including censorship, media operations and role of social technologies.   Grading:  Your grade is assessed based on discussion posts and quizzes. Individual taking this course for credit (i.e. students at the University at Albany y will be required to engage in additional activities communicated to them directly).    Recommended Background:  No background knowledge or skills are necessary, but an understanding and familiarity of cyber security, Internet infrastructure and international law would be advantageous for anyone who participates in the course.   ACKNOWLEDGEMENTS  Ersin Dincelli and Nic DePaula were the instructional designers for the course who assisted in the recording of the videos, reviewing material, creating slides, assessments and some of the content. Without their tremendous effort this would not have been possible. We also acknowledge the financial support for the recordings from the University at Albany as well as the support from Media and Marketing. Finally, thanks to Lisa Stephens who is the SUNY liaison to Coursera for being a strong supporter of the MOOC.",espionage  cybercrime  law  security  cyberwarfare  internet  cyberterrorism  international law  confidence  internet protocol computer-science computer-security-and-networks,6
App Design and Development for iOS,University of Toronto,Advanced,4,https://www.coursera.org/learn/ios-app-design-development,"In App Design and Development for iOS, the third course of the iOS App Development with Swift specialization, you will be developing foundational programming skills to support graphical element presentation and data manipulation from basic functions through to Advanced processing. You will continue to build your skill set to use and apply core graphics, touch handling and gestures, animations and transitions, alerts and actions as well as Advanced algorithms, threading and more. By the end of this course you will be able to develop a more Advanced, fully functioning app.  Currently this course is taught using Swift 2. The team is aware of the release of Swift 3 and will be making edits to the course in time. Please be aware that at this time the instruction is entirely with Swift 2.",interactivity  iOS Development  persistent data structure  Algorithms  Human Computer Interaction  Swift Programming  navigation controls  game design  Application Design  Mobile Development computer-science mobile-and-web-development,3
Software Product Management Capstone,University of Alberta,Advanced,4.8,https://www.coursera.org/learn/software-product-management-capstone,"In this six-week capstone course, you will gain practical management experience in a safe, simulated software production setting. You will apply Agile practices and techniques to conquer industry-inspired challenges. Interacting with a realistic client, you will discern what they want and express what they truly need in software requirements to drive software production. Upon completing the capstone, you will be prepared to advance your career as a confident software product management professional.",Product Management  Leadership and Management  project  scrum (software development)  Project Management  software  software product management  Software Engineering  software project management  Agile Software Development computer-science design-and-product,4
Data Analysis Using Pyspark,Coursera Project Network,Beginner,4.2,https://www.coursera.org/learn/data-analysis-using-pyspark,"One of the important topics that every data analyst should be familiar with is the distributed data processing technologies. As a data analyst, you should be able to apply different queries to your dataset to extract useful information out of it. but what if your data is so big that working with it on your local machine is not easy to be done. That is when the distributed data processing and Spark Technology will become handy. So in this project, we are going to work with pyspark module in python and we are going to use google colab environment in order to apply some queries to the dataset we have related to lastfm website which is an online music service where users can listen to different songs. This dataset is containing two csv files listening.csv and genre.csv. Also, we will learn how we can visualize our query results using matplotlib.",Data Analysis  analysis  Machine Learning  Big Data  Python Programming  utility  Matplotlib  ordered pair  project mine  project data-science data-analysis,2
Introduction to TestNG and Integration with Selenium,Coursera Project Network,Beginner,4.6,https://www.coursera.org/learn/introduction-to-testng-integration-with-selenium,"TestNG stands for Test Next Generation is a testing framework that provides the developer the ability to write more flexible and powerful tests with help of easy annotations, grouping, sequencing & parametrizing.  It can easily be integrated with automation tools like Selenium and is widely used by automation test experts to write functional tests.  In this one-hour guided project through hands-on, practical exercises, you will learn --  1. Writing test cases using @Test annotation using TestNG  2. Using @BeforeMethod and @AfterMethod annotations and their purpose in TestNG  3. Using @BeforeClass and @AfterClass annotations and their purpose in TestNG  4. TestNG integration with Selenium automation tool  5. Priority and enabled attributes in TestNG to control the order of execution and enabling/disabling a test case.   6. Using Assert statement to add assertions in TestNG  7. Understanding different format of reports in TestNG  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",test case  manual testing  selenium  e-nable  english language  Writing  system under test  project  reference implementation  bash (unix shell) computer-science software-development,5
Cyber Attack Countermeasures,New York University,Advanced,4.8,https://www.coursera.org/learn/cyber-attack-countermeasures,"This course introduces the basics of cyber defense starting with foundational models such as Bell-LaPadula and information flow frameworks. These underlying policy enforcements mechanisms help introduce basic functional protections, starting with authentication methods. Learners will be introduced to a series of different authentication solutions and protocols, including RSA SecureID and Kerberos, in the context of a canonical schema.  � The basics of cryptography are also introduced with attention to conventional block ciphers as well as public key cryptography. Important cryptographic techniques such as cipher block chaining and triple-DES are explained. Modern certification authority-based cryptographic support is also discussed and shown to provide basis for secure e-commerce using Secure Sockets Layer (SSL) schemes.",encryption  biba model  public-key cryptography  Cryptography  cryptanalysis  Secure Sockets Layer (SSL)  security  rsa securid  s/key  block cipher mode of operation computer-science computer-security-and-networks,6
Create UI in Unity Part 3 - Settings Menu,Coursera Project Network,Beginner,Not Calibrated,https://www.coursera.org/learn/create-ui-unity-settings-menu,"In this two-hour, project-based course, you will be introduced to Unity's User Interface (UI) Toolkit for building a settings menu for your game. This project covers creating and setting up each UI component based on user selection.  The guided project will introduce you to the following Unity UI concepts: - Canvas, Rect Transforms and Panels - Text, Images and Toggle switches - Sliders and Buttons  This is Part 3 of a four-part series on creating a good-looking user interface for your game or other Unity application. Part 1 covered creating a screen overlay canvas for typical player-feedback such as health and score, while Part 2 showed you how to create world-space canvases to provide information and feedback on GameObjects in the environment. Part 4 will show you how to create a UI that will automatically adapt to the aspect ratio of any screen.  This series makes use of the sci-fi-themed Unity project created in Create Power-Ups and Obstacles with C# in Unity. It compliments this guided project and, although not a prerequisite, is recommended for a more well-rounded understanding of the concepts presented herein.",project  video game development  user interface  teaching method  Machine Learning  euler's totient function  java annotation  .properties  problem-based learning  multiliteracy computer-science software-development,3
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,Advanced,4.8,https://www.coursera.org/learn/intro-accounting-data-analytics-visual,"Accounting has always been about analytical thinking. From the earliest days of the profession, Luca Pacioli emphasized the importance of math and order for analyzing business transactions. The skillset that accountants have needed to perform math and to keep order has evolved from pencil and paper, to typewriters and calculators, then to spreadsheets and accounting software. A new skillset that is becoming more important for nearly every aspect of business is that of big data analytics: analyzing large amounts of data to find actionable insights. This course is designed to help accounting students develop an analytical mindset and prepare them to use data analytic programming languages like Python and R.   We�ve divided the course into three main sections. In the first section, we bridge accountancy to analytics. We identify how tasks in the five major subdomains of accounting (i.e., financial, managerial, audit, tax, and systems) have historically required an analytical mindset, and we then explore how those tasks can be  completed more effectively and efficiently by using big data analytics. We then present a FACT framework for guiding big data analytics: Frame a question, Assemble data, Calculate the data, and Tell others about the results.   In the second section of the course, we emphasize the importance of assembling data. Using financial statement data, we explain desirable characteristics of both data and datasets that will lead to effective calculations and visualizations.   In the third, and largest section of the course, we demonstrate and explore how Excel and Tableau can be used to analyze big data. We describe visual perception principles and then apply those principles to create effective visualizations. We then examine fundamental data analytic tools, such as regression, linear programming (using Excel Solver), and clustering in the context of point of sale data and loan data. We conclude by demonstrating the power of data analytic programming languages to assemble, visualize, and analyze data. We introduce Visual Basic for Applications  as an example of a programming language, and the Visual Basic Editor as an example of an integrated development environment (IDE).",data clustering algorithms  analytics  tableau software  Microsoft Excel  Data Visualization  microsoft excel vba  Pivot Table  analysis  Data Analysis  software data-science data-analysis,2
Java for Android,Vanderbilt University,Intermediate,4.4,https://www.coursera.org/learn/java-for-android,"This MOOC teaches you how to program core features and classes from the Java programming language that are used in Android, which is the dominant platform for developing and deploying mobile device apps.   In particular, this MOOC covers key Java programming language features that control the flow of execution through an app (such as Java�s various looping constructs and conditional statements), enable access to structured data (such as Java's built-in arrays and common classes in the Java Collections Framework, such as ArrayList and HashMap), group related operations and data into classes and interfaces (such as Java's primitive and user-defined types, fields, methods, generic parameters, and exceptions), customize the behavior of existing classes via inheritance and polymorphism (such as subclassing and overriding virtual methods). Learners will apply these Java features in the context of core Android components (such as Activities and basic UI elements) by applying common tools (such as Android Studio) needed to develop Java programs and useful Android apps.    Learners will work on several hands-on projects throughout the MOOC, i.e., each week will require learners to write solutions to programming assignments that reinforce the material covered in the lecture videos. There will be roughly 4-6 hours of student engagement time per week, including video lectures, quizzes, and programming assignments.",java syntax  java (software platform)  generics in java  software  Android Development  Computer Programming  syntax  java collections framework  Java Programming  android studio computer-science mobile-and-web-development,1
Statistical Mechanics: Algorithms and Computations,�cole normale sup�rieure,Advanced,4.8,https://www.coursera.org/learn/statistical-mechanics,"In this course you will learn a whole lot of modern physics (classical and quantum) from basic computer programs that you will download, generalize, or write from scratch, discuss, and then hand in. Join in if you are curious (but not necessarily knowledgeable) about algorithms, and about the deep insights into science that you can obtain by the algorithmic approach.",computational physics  tailored access operations  relative change and difference  physics  Algorithms  General Statistics  Python Programming  Permutations  statistical mechanics  simulation physical-science-and-engineering physics-and-astronomy,2
Introduction to Python,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/introduction-to-python,"Learning Python gives the programmer a wide variety of career paths to choose from. Python is an open-source (free) programming language that is used in web programming, data science, artificial intelligence, and many scientific applications. Learning Python allows the programmer to focus on solving problems, rather than focusing on syntax. Its relative size and simplified syntax give it an edge over languages like Java and C++, yet the abundance of libraries gives it the power needed to accomplish great things.  In this project you will create a guessing game application that pits the computer against the user. You will create variables, decision constructs, and loops in python to create the game.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Computer Programming  computer program  Python Programming  game programming  c programming  c++  path (variable)  Web Design  web  syntax computer-science software-development,2
Encryption And Decryption Using C++,Coursera Project Network,Beginner,5,https://www.coursera.org/learn/encryption-and-decrytion-using-cpp,"In this 2-hour long project-based course, you will  (learn basics of cryptography,  build basic encryption application).  we will learn basics of encryption and decryption techniques and gain basic related cryptography  knowledge and by the end of this project you will be able to create an encryption application.    Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",project  Cryptography  project mine  Algorithms  linux security modules  form-based authentication  cipher  perl software  encryption  i-deas computer-science software-development,6
RPA Lifecycle: Development and Testing,Automation Anywhere,Advanced,4.6,https://www.coursera.org/learn/rpa-development-testing,"To adopt RPA, you begin with the Discovery and Design phases and proceed onto the Development and Testing phase.  RPA Lifecycle � Development and Testing is the second course of the Specialization on Implementing RPA with Cognitive Solutions and Analytics.  In this course, you will learn how to develop and test bots. For this, you will use Automation Anywhere Enterprise Client (or AAE Client) to record, modify, and run tasks. AAE Client is a desktop application with an intuitive interface, that enables the creation of automated tasks with ease. It features �SMART� Automation technology that quickly automates complex tasks without the need for any programming efforts. The learning will be reinforced through concept description, building bots, and guided practice.",event (computing)  testing anywhere  automation anywhere  euler's totient function  ordered pair  process  web page  web  list of dns record types  project computer-science software-development,5
Startups in open innovation,Saint Petersburg State University,Advanced,4,https://www.coursera.org/learn/startups-in-open-innovation,"This course was created in the partnership with StPetersburg Electrotechnical University ETU �LETI�.  This course is made for everyone, who is interested in the development of startup projects in the realm of globalisation, crowdsourcing and the emergence of ""open-source"" innovations. The course can be chosen for beginner level, or become an additional material to the innovation-related higher education curriculum. The course can be successfully completed by the learners with the basic knowledge of innovation theory and/or management (Bachelor degree or higher). Upon completion of this course learners will be well-versed in the basic economic models in the digital environment, types of monetisation used for open innovations, will be able to create a business model of value in the open-knowledge environment. The learners will study the key problems of the digital environment, main methods for building an innovative project, as well as how to limit the access to the information. They will be able to search for the governmental means of support for open innovation projects, private investment resources, and assess the level of maturity of the project.",open space technology  open innovation  diffusion of innovations  visual basic  open-source robotics  service innovation  Innovation  visual communication  open collaboration  open source business business-strategy,4
